FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,Remaining,AUG,Southern Border,TUCSON,AZ,"PHOENIX, AZ (2605)",Air,Travelers,Air,73451
2023,Remaining,AUG,Coastal/Interior,BALTIMORE,PA,PHILA. INTL. AIRPORT (1108),Air,Conveyances,Air,773
2024,Remaining,AUG,Northern Border,SEATTLE,ND,"NECHE, ND (3404)",Land,Travelers,Trucks,688
2025 (FYTD),FYTD,OCT,Southern Border,SAN DIEGO,CA,"SAN DIEGO, CA (2501)",Air,Conveyances,Air,247
2024,Remaining,JUN,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Air,Travelers,Air,252276
2022,FYTD,DEC,Northern Border,SEATTLE,MT,"GREAT FALLS, MT (3304)",Air,Travelers,Air,125
2022,Remaining,JUN,Northern Border,PORTLAND,AK,"ANCHORAGE, AK (3126)",Air,Conveyances,Air,2237
2024,FYTD,OCT,Coastal/Interior,CHICAGO,IL,DUPAGE AIRPORT AUTH. (3984),Air,Conveyances,Air,16
2024,FYTD,NOV,Coastal/Interior,CHICAGO,MN,ROCHESTER MN (3581),Air,Travelers,Air,103
2025 (FYTD),FYTD,OCT,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Conveyances,Trucks,79
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Pedestrians,2
2022,Remaining,JUL,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Conveyances,Passenger Vehicles,2720
2025 (FYTD),FYTD,OCT,Northern Border,BOSTON,VT,"NORTON, VT (0211)",Land,Conveyances,Passenger Vehicles,1378
2023,Remaining,JAN,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Travelers,Air,43
2022,Remaining,MAY,Coastal/Interior,ATLANTA,GA,MYRTLE BEACH INTL AIRPOR (1681),Air,Travelers,Air,330
2022,Remaining,AUG,Northern Border,SEATTLE,MT,"ROOSVILLE, MT (3318)",Land,Travelers,Trucks,866
2023,FYTD,NOV,Preclearance,PRECLEARANCE,DC,USCBP CALGARY PRECLEAR (7923),Air,Conveyances,Air,993
2024,Remaining,JUL,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Travelers,Pedestrians,2688
2023,FYTD,DEC,Northern Border,BUFFALO,NY,BUFFALO-NIAGARA FALLS NY (0901),Land,Travelers,Trucks,66674
2023,Remaining,SEP,Coastal/Interior,NEW YORK,NJ,NEW YORK/NEWARK AREA (4601),Air,Travelers,Air,612748
2024,Remaining,AUG,Coastal/Interior,ATLANTA,NC,"DURHAM, NC (1503)",Air,Conveyances,Air,184
2022,FYTD,DEC,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Conveyances,Trucks,20
2022,Remaining,JAN,Coastal/Interior,NEW ORLEANS,LA,"MORGAN CITY, LA (2001)",Air,Travelers,Air,5
2023,Remaining,APR,Northern Border,DETROIT,MI,"SAULT STE. MARIE, MI (3803)",Land,Travelers,Passenger Vehicles,53026
2023,Remaining,JUL,Coastal/Interior,MIAMI,FL,"WEST PALM BEACH, FL (5204)",Air,Conveyances,Air,726
2024,Remaining,APR,Coastal/Interior,BALTIMORE,VA,"ALEXANDRIA, VA (5402)",Air,Conveyances,Air,37
2023,Remaining,JUN,Northern Border,SEATTLE,MT,"ROOSVILLE, MT (3318)",Land,Travelers,Pedestrians,414
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Travelers,Passenger Vehicles,892
2023,Remaining,FEB,Northern Border,PORTLAND,AK,"DALTON CACHE, AK (3106)",Land,Conveyances,Passenger Vehicles,294
2024,Remaining,AUG,Northern Border,BOSTON,ME,"BELFAST, ME (0132)",Land,Travelers,Pedestrians,1
2023,Remaining,JAN,Southern Border,SAN DIEGO,CA,OTAY MESA (2506),Land,Travelers,Pedestrians,231116
2022,FYTD,NOV,Northern Border,SEATTLE,WA,"POINT ROBERTS, WA (3017)",Land,Conveyances,Trucks,191
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Passenger Vehicles,42
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Travelers,Pedestrians,22
2023,Remaining,MAY,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Passenger Vehicles,10384
2023,Remaining,AUG,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Travelers,Passenger Vehicles,4773
2022,Remaining,MAY,Northern Border,BOSTON,ME,"BANGOR, ME (0102)",Air,Conveyances,Air,191
2023,Remaining,AUG,Northern Border,SEATTLE,MT,"KALISPELL, MT (3324)",Air,Conveyances,Air,86
2024,Remaining,MAY,Southern Border,TUCSON,AZ,"PHOENIX, AZ (2605)",Air,Travelers,Air,89219
2023,Remaining,MAR,Coastal/Interior,BALTIMORE,DE,"WILMINGTON, DE (1103)",Air,Conveyances,Air,44
2022,FYTD,OCT,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Travelers,Pedestrians,778
2023,FYTD,OCT,Coastal/Interior,TAMPA,FL,ORLANDO EXECUTIVE AIRPT (1888),Air,Travelers,Air,360
2022,FYTD,DEC,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Conveyances,Trucks,111394
2024,FYTD,NOV,Coastal/Interior,HOUSTON,TX,MEACHAM INTL ARPRT (FTW) (5589),Air,Conveyances,Air,36
2022,Remaining,APR,Northern Border,DETROIT,MI,"ALGONAC, MI (3814)",Land,Travelers,Pedestrians,72
2024,Remaining,MAR,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Travelers,Air,8
2023,Remaining,AUG,Coastal/Interior,HOUSTON,TX,MEACHAM INTL ARPRT (FTW) (5589),Air,Conveyances,Air,30
2022,Remaining,FEB,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Travelers,Trucks,2961
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Travelers,Pedestrians,18
2023,Remaining,SEP,Coastal/Interior,ATLANTA,SC,GREER (1608),Air,Travelers,Air,305
2025 (FYTD),FYTD,OCT,Coastal/Interior,BALTIMORE,PA,"HARRISBURG, PA (1109)",Air,Travelers,Air,69
2025 (FYTD),FYTD,OCT,Coastal/Interior,NEW ORLEANS,TN,PORT OF TRI-CITIES (2027),Air,Conveyances,Air,3
2024,Remaining,FEB,Coastal/Interior,SAN FRANCISCO,HI,KONA HI (3206),Air,Conveyances,Air,5
2024,Remaining,MAR,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Conveyances,Trucks,18208
2024,Remaining,SEP,Northern Border,PORTLAND,AK,"DALTON CACHE, AK (3106)",Land,Travelers,Pedestrians,299
2024,FYTD,OCT,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Travelers,Passenger Vehicles,2784
2023,Remaining,JUN,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Conveyances,Trucks,22029
2024,Remaining,JUN,Coastal/Interior,SAN FRANCISCO,CA,FRESNO YOSEMITE AIRPORT (2882),Air,Conveyances,Air,122
2023,Remaining,SEP,Coastal/Interior,NEW ORLEANS,TN,"MEMPHIS, TN (2006)",Air,Travelers,Air,1837
2022,FYTD,OCT,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,57
2025 (FYTD),FYTD,NOV,Coastal/Interior,ATLANTA,GA,"SAVANNAH, GA (1703)",Air,Conveyances,Air,86
2023,Remaining,MAR,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Travelers,Trucks,125
2025 (FYTD),FYTD,DEC,Coastal/Interior,SAN FRANCISCO,HI,HONOLULU INTL AIRPRT (3205),Air,Travelers,Air,156870
2024,FYTD,DEC,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Conveyances,Air,3509
2023,Remaining,SEP,Coastal/Interior,CHICAGO,IL,WAUKEGAN AIRPORT (3981),Air,Travelers,Air,95
2023,Remaining,JUL,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO,TX(INACTIVE) (2308)",Air,Travelers,Air,1406
2024,Remaining,JAN,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Travelers,Passenger Vehicles,6753
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Travelers,Passenger Vehicles,247
2022,Remaining,JUN,Coastal/Interior,ATLANTA,GA,"ATLANTA, GA (1704)",Air,Conveyances,Air,2389
2022,Remaining,SEP,Coastal/Interior,SAN FRANCISCO,CA,SAN FRANCISCO INTL AIRPT (2801),Air,Conveyances,Air,1939
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Conveyances,Trucks,13
2024,Remaining,JUN,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Travelers,Pedestrians,41
2022,FYTD,NOV,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Travelers,Air,23
2024,FYTD,OCT,Northern Border,SEATTLE,MN,"ROSEAU, MN (3426)",Land,Travelers,Pedestrians,10
2024,Remaining,APR,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Travelers,Trucks,53
2022,Remaining,SEP,Coastal/Interior,ATLANTA,NC,"WINSTON-SALEM, NC (1502)",Air,Conveyances,Air,15
2023,Remaining,FEB,Northern Border,PORTLAND,ID,"BOISE, ID (2907)",Air,Travelers,Air,218
2022,Remaining,JUL,Southern Border,TUCSON,AZ,"SASABE, AZ (2606)",Land,Travelers,Pedestrians,73
2024,Remaining,JUL,Northern Border,PORTLAND,AK,"DALTON CACHE, AK (3106)",Land,Conveyances,Trucks,121
2022,Remaining,JUL,Southern Border,SAN DIEGO,CA,OTAY MESA (2506),Air,Travelers,Air,1382
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,MN,"ROSEAU, MN (3426)",Land,Travelers,Passenger Vehicles,4484
2022,Remaining,JUN,Northern Border,BOSTON,NH,MANCHESTER AIRPORT (0182),Air,Conveyances,Air,11
2024,FYTD,NOV,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO,TX(INACTIVE) (2308)",Air,Conveyances,Air,325
2022,Remaining,AUG,Coastal/Interior,BALTIMORE,PA,"HARRISBURG, PA (1109)",Air,Conveyances,Air,13
2024,Remaining,APR,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Travelers,Trucks,147309
2022,Remaining,MAR,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Land,Travelers,Trucks,2043
2023,FYTD,DEC,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Pedestrians,120697
2024,Remaining,JUN,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Land,Travelers,Trucks,429
2023,Remaining,AUG,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO,TX(INACTIVE) (2308)",Air,Conveyances,Air,243
2022,Remaining,JAN,Northern Border,PORTLAND,AK,"DALTON CACHE, AK (3106)",Land,Travelers,Trucks,78
2022,Remaining,JUL,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Conveyances,Trucks,82
2024,Remaining,JUN,Northern Border,SEATTLE,MN,"GRAND PORTAGE, MN (3613)",Land,Conveyances,Trucks,1046
2022,Remaining,MAR,Preclearance,PRECLEARANCE,DC,USCBP ABU DHABI PRECLEAR (7543),Air,Conveyances,Air,97
2023,Remaining,AUG,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Land,Travelers,Passenger Vehicles,54908
2022,Remaining,JUL,Southern Border,EL PASO,NM,"COLUMBUS, NM (2406)",Land,Travelers,Passenger Vehicles,69300
2024,Remaining,JAN,Southern Border,SAN DIEGO,CA,OTAY MESA (2506),Air,Conveyances,Air,326
2024,FYTD,DEC,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Land,Conveyances,Passenger Vehicles,125135
2023,FYTD,DEC,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Conveyances,Passenger Vehicles,2446
2022,FYTD,OCT,Coastal/Interior,SAN FRANCISCO,CA,SACRAMENTO INT AIRPORT (2835),Air,Conveyances,Air,96
2023,Remaining,JUN,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Air,Travelers,Air,80
2022,Remaining,FEB,Southern Border,SAN DIEGO,CA,"CALEXICO, CA (2503)",Air,Conveyances,Air,97
2024,Remaining,SEP,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Conveyances,Trucks,4656
2024,Remaining,JUL,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Air,Conveyances,Air,3
2022,Remaining,JUN,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Air,Travelers,Air,639
2023,Remaining,AUG,Northern Border,SEATTLE,ND,"ANTLER, ND (3413)",Land,Travelers,Pedestrians,16
2025 (FYTD),FYTD,OCT,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Air,Travelers,Air,4
2024,Remaining,APR,Preclearance,PRECLEARANCE,DC,USCBP ABU DHABI PRECLEAR (7543),Air,Travelers,Air,16167
2023,FYTD,DEC,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Land,Travelers,Passenger Vehicles,6183
2023,Remaining,MAY,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Travelers,Pedestrians,32606
2022,Remaining,APR,Northern Border,SEATTLE,ND,WILLISTON AIRPORT (3433),Air,Travelers,Air,32
2024,Remaining,JUL,Coastal/Interior,CHICAGO,NE,"OMAHA, NE (3512)",Air,Travelers,Air,145
2024,Remaining,JUN,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Travelers,Trucks,35478
2022,Remaining,MAR,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Air,Travelers,Air,155
2024,FYTD,OCT,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Conveyances,Passenger Vehicles,6246
2023,Remaining,AUG,Northern Border,BOSTON,ME,"BRIDGEWATER, ME (0127)",Land,Travelers,Pedestrians,28
2022,Remaining,MAY,Preclearance,PRECLEARANCE,DC,USCBP NASSAU PRECLEAR (7423),Air,Conveyances,Air,991
2023,Remaining,APR,Northern Border,BUFFALO,NY,"UTICA, NY (0907)",Air,Travelers,Air,27
2022,Remaining,JUN,Northern Border,BOSTON,ME,"BRIDGEWATER, ME (0127)",Land,Travelers,Trucks,345
2022,FYTD,OCT,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Pedestrians,427
2024,Remaining,APR,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Conveyances,Trucks,7318
2022,Remaining,MAY,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Travelers,Passenger Vehicles,803
2023,Remaining,JAN,Northern Border,PORTLAND,AK,"KETCHIKAN, AK (3102)",Air,Travelers,Air,2
2025 (FYTD),FYTD,NOV,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Land,Travelers,Passenger Vehicles,1093257
2023,Remaining,AUG,Northern Border,SEATTLE,WA,"SPOKANE, WA (3022)",Air,Conveyances,Air,58
2024,FYTD,DEC,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Travelers,Trucks,221
2022,Remaining,FEB,Coastal/Interior,HOUSTON,TX,COLLIN CNTY REGN'L APT (5585),Air,Conveyances,Air,12
2023,FYTD,DEC,Coastal/Interior,SAN FRANCISCO,CA,"SAN FRANCISCO, CA (2809)",Air,Conveyances,Air,19
2022,Remaining,FEB,Northern Border,SEATTLE,MT,"MORGAN, MT (3319)",Land,Travelers,Pedestrians,6
2023,Remaining,APR,Coastal/Interior,MIAMI,FL,MIAMI INTL AIRPORT (5206),Air,Travelers,Air,927126
2023,Remaining,JAN,Southern Border,SAN DIEGO,CA,SAN YSIDRO (2504),Land,Travelers,Passenger Vehicles,2143763
2024,Remaining,MAR,Southern Border,SAN DIEGO,CA,SAN YSIDRO (2504),Land,Travelers,Passenger Vehicles,2044809
2023,Remaining,JUL,Coastal/Interior,HOUSTON,TX,MEACHAM INTL ARPRT (FTW) (5589),Air,Travelers,Air,202
2022,Remaining,MAY,Coastal/Interior,CHICAGO,IL,DUPAGE AIRPORT AUTH. (3984),Air,Conveyances,Air,7
2022,Remaining,JUN,Northern Border,SEATTLE,ND,"ANTLER, ND (3413)",Land,Travelers,Trucks,84
2022,Remaining,AUG,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Trucks,15479
2022,FYTD,OCT,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Travelers,Passenger Vehicles,6836
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Conveyances,Trucks,122
2024,FYTD,OCT,Northern Border,SEATTLE,ND,GRAND FORKS AIRPORT (3427),Air,Travelers,Air,41
2023,Remaining,MAY,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Land,Travelers,Pedestrians,12
2022,FYTD,DEC,Coastal/Interior,HOUSTON,TX,"PORT ARTHUR, TX (2101)",Air,Conveyances,Air,2
2024,Remaining,JAN,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Travelers,Trucks,33
2024,Remaining,JAN,Southern Border,EL PASO,NM,"COLUMBUS, NM (2406)",Land,Conveyances,Passenger Vehicles,32867
2022,Remaining,MAY,Southern Border,SAN DIEGO,CA,CALEXICO-EAST (2507),Land,Conveyances,Passenger Vehicles,225759
2024,Remaining,FEB,Northern Border,BUFFALO,NY,"SYRACUSE, NY (0906)",Air,Travelers,Air,66
2022,Remaining,APR,Coastal/Interior,MIAMI,FL,"FORT PIERCE, FL (5205)",Air,Travelers,Air,2290
2022,FYTD,OCT,Coastal/Interior,BALTIMORE,NJ,"USR FEE,TRENTN/MERCER,NJ (1183)",Air,Travelers,Air,102
2022,Remaining,AUG,Preclearance,PRECLEARANCE,DC,USCBP BERMUDA PRECLEAR (7421),Air,Travelers,Air,25850
2025 (FYTD),FYTD,DEC,Coastal/Interior,LOS ANGELES,NV,"LAS VEGAS, NV (2722)",Air,Travelers,Air,89777
2024,FYTD,NOV,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Land,Travelers,Pedestrians,385972
2023,Remaining,AUG,Coastal/Interior,MIAMI,FL,"WEST PALM BEACH, FL (5204)",Air,Travelers,Air,4509
2024,Remaining,AUG,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Travelers,Passenger Vehicles,2165
2022,Remaining,SEP,Northern Border,SEATTLE,MN,"ROSEAU, MN (3426)",Land,Travelers,Passenger Vehicles,3022
2022,Remaining,JAN,Southern Border,SAN DIEGO,CA,"TECATE, CA (2505)",Land,Travelers,Pedestrians,62263
2024,Remaining,SEP,Coastal/Interior,CHICAGO,OH,"TOLEDO, OH (4105)",Land,Conveyances,Passenger Vehicles,61
2023,Remaining,MAY,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Travelers,Trucks,25
2022,Remaining,FEB,Northern Border,SEATTLE,MT,"RAYMOND, MT (3301)",Land,Travelers,Trucks,1383
2023,Remaining,JAN,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Passenger Vehicles,1369
2023,Remaining,JUL,Coastal/Interior,SAN FRANCISCO,HI,"KAHULUI, HI (3203)",Air,Travelers,Air,17
2023,FYTD,NOV,Southern Border,SAN DIEGO,CA,SAN YSIDRO (2504),Land,Travelers,Passenger Vehicles,2160245
2022,FYTD,NOV,Southern Border,SAN DIEGO,CA,"CALEXICO, CA (2503)",Air,Conveyances,Air,134
2022,Remaining,FEB,Northern Border,BOSTON,VT,"DERBY LINE, VT (0209)",Land,Travelers,Pedestrians,582
2024,FYTD,NOV,Coastal/Interior,SAN JUAN,VI,ST. THOMAS (PRE-INSPECTION) (7401),Air,Conveyances,Air,791
2024,Remaining,JUN,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Conveyances,Passenger Vehicles,1458
2024,Remaining,MAY,Preclearance,PRECLEARANCE,DC,USCBP EDMONTON PRECLEAR (7924),Air,Conveyances,Air,344
2023,FYTD,OCT,Northern Border,SEATTLE,MT,"WILLOW CREEK, MT (3325)",Land,Travelers,Passenger Vehicles,620
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Conveyances,Passenger Vehicles,1099
2024,Remaining,JUL,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Travelers,Pedestrians,18894
2025 (FYTD),FYTD,DEC,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Travelers,Trucks,1677
2024,Remaining,FEB,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Pedestrians,138642
2022,Remaining,SEP,Coastal/Interior,SAN JUAN,PR,"SAN JUAN, PR (4909)",Air,Conveyances,Air,72
2022,Remaining,JUN,Southern Border,TUCSON,AZ,"LUKEVILLE, AZ (2602)",Land,Conveyances,Passenger Vehicles,46141
2022,FYTD,OCT,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Air,Travelers,Air,19
2023,FYTD,OCT,Preclearance,PRECLEARANCE,DC,USCBP MONTREAL PRECLEAR (7925),Air,Conveyances,Air,2545
2023,Remaining,JAN,Preclearance,PRECLEARANCE,DC,USCBP EDMONTON PRECLEAR (7924),Air,Conveyances,Air,328
2022,FYTD,NOV,Coastal/Interior,CHICAGO,MO,"SPRINGFIELD, MO (4505)",Air,Travelers,Air,23
2024,Remaining,APR,Coastal/Interior,ATLANTA,SC,"CHARLESTON, SC (1601)",Air,Travelers,Air,637
2024,FYTD,OCT,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Conveyances,Passenger Vehicles,565
2023,Remaining,AUG,Coastal/Interior,TAMPA,FL,LEESBURG REGIONAL AIRPT (1887),Air,Travelers,Air,43
2022,FYTD,DEC,Southern Border,LAREDO,TX,"ROMA, TX (2310)",Land,Conveyances,Trucks,2900
2023,FYTD,NOV,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Conveyances,Passenger Vehicles,338
2023,Remaining,AUG,Coastal/Interior,NEW YORK,NY,JOHN F KENNEDY AIRPORT (4701),Air,Travelers,Air,1798867
2023,Remaining,JUN,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Land,Conveyances,Trucks,252039
2022,Remaining,MAR,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Travelers,Air,44341
2022,FYTD,DEC,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Travelers,Passenger Vehicles,235
2023,FYTD,DEC,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Travelers,Pedestrians,1
2024,Remaining,AUG,Northern Border,SEATTLE,ND,HECTOR INTERNATIONAL AIRPORT (3411),Air,Conveyances,Air,95
2023,Remaining,JUL,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Conveyances,Trucks,25015
2023,Remaining,AUG,Southern Border,EL PASO,NM,"ALBUQUERQUE, NM (2407)",Air,Travelers,Air,21
2023,Remaining,FEB,Coastal/Interior,TAMPA,FL,ORLANDO EXECUTIVE AIRPT (1888),Air,Conveyances,Air,60
2025 (FYTD),FYTD,NOV,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Travelers,Air,37433
2022,FYTD,DEC,Coastal/Interior,CHICAGO,KS,"WICHITA, KS (4504)",Air,Conveyances,Air,17
2023,Remaining,APR,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Air,Conveyances,Air,1
2025 (FYTD),FYTD,DEC,Coastal/Interior,CHICAGO,KY,"LOUISVILLE, KY (4115)",Air,Travelers,Air,922
2023,Remaining,APR,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Travelers,Pedestrians,3281
2023,FYTD,OCT,Coastal/Interior,CHICAGO,MO,"ST LOUIS, MO (4503)",Air,Travelers,Air,13536
2022,FYTD,DEC,Coastal/Interior,LOS ANGELES,CA,JOHN WAYNE AIRPORT (2787),Air,Travelers,Air,7524
2024,Remaining,JUL,Preclearance,PRECLEARANCE,DC,USCBP TORONTO PRECLEAR (7926),Air,Conveyances,Air,6335
2024,Remaining,FEB,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Travelers,Trucks,6353
2023,Remaining,AUG,Northern Border,SEATTLE,WA,"DANVILLE, WA (3012)",Land,Travelers,Pedestrians,27
2022,Remaining,SEP,Southern Border,TUCSON,AZ,WILLIAMS GATEWAY AIRPORT (2682),Air,Travelers,Air,20
2024,Remaining,APR,Southern Border,SAN DIEGO,CA,OTAY-CROSS BORDER UFA (2582),Land,Travelers,Pedestrians,176029
2022,FYTD,DEC,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Conveyances,Trucks,114
2022,Remaining,SEP,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Travelers,Trucks,29
2024,Remaining,APR,Coastal/Interior,TAMPA,FL,NAPLES MUNICIPAL AIRPORT (USER FEE) (1880),Air,Conveyances,Air,223
2023,Remaining,AUG,Northern Border,SEATTLE,WA,"EVERETT, WA (3006)",Air,Travelers,Air,546
2023,Remaining,AUG,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Conveyances,Trucks,57276
2022,FYTD,OCT,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Conveyances,Passenger Vehicles,186
2024,Remaining,JUN,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Travelers,Trucks,241
2022,FYTD,NOV,Coastal/Interior,HOUSTON,TX,COLLIN CNTY REGN'L APT (5585),Air,Conveyances,Air,6
2022,Remaining,MAY,Northern Border,SEATTLE,MT,BOZEMAN YELLOWSTONE UFA (3386),Air,Travelers,Air,42
2022,Remaining,JUN,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Air,Conveyances,Air,2
2024,FYTD,OCT,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Air,Conveyances,Air,4
2022,FYTD,DEC,Southern Border,SAN DIEGO,CA,CALEXICO-EAST (2507),Land,Travelers,Passenger Vehicles,380244
2022,Remaining,JUN,Northern Border,SEATTLE,WA,"DANVILLE, WA (3012)",Land,Travelers,Trucks,18
2024,Remaining,JUN,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Conveyances,Passenger Vehicles,639
2022,Remaining,JUN,Northern Border,BOSTON,RI,"PROVIDENCE, RI (0502)",Air,Travelers,Air,180
2024,Remaining,FEB,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Air,Travelers,Air,5
2023,Remaining,MAY,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Travelers,Pedestrians,152
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Conveyances,Trucks,27279
2024,Remaining,AUG,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO, TX (5507)",Air,Travelers,Air,33708
2023,FYTD,OCT,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Pedestrians,94040
2023,Remaining,JUN,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Air,Conveyances,Air,1
2023,FYTD,NOV,Coastal/Interior,CHICAGO,IL,"CHICAGO, IL (3901)",Air,Conveyances,Air,2375
