FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2024,Remaining,SEP,Northern Border,BOSTON,VT,HIGHGATE SPRINGS/ALBURG (0212),Land,Conveyances,Passenger Vehicles,44998
2025 (FYTD),FYTD,OCT,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Conveyances,Trucks,1190
2025 (FYTD),FYTD,OCT,Northern Border,DETROIT,MI,"SAGINAW/BAY CITY, MI (3804)",Air,Travelers,Air,16
2023,Remaining,JAN,Coastal/Interior,CHICAGO,OH,"COLUMBUS, OH (4103)",Air,Travelers,Air,1085
2024,FYTD,DEC,Coastal/Interior,TAMPA,FL,"PORT CANAVERAL, FL (1816)",Air,Conveyances,Air,3
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Pedestrians,349
2024,Remaining,MAY,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Conveyances,Passenger Vehicles,1076
2022,Remaining,FEB,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Land,Travelers,Trucks,5020
2022,Remaining,JUL,Northern Border,DETROIT,MI,"SAGINAW/BAY CITY, MI (3804)",Air,Travelers,Air,122
2022,Remaining,APR,Northern Border,SEATTLE,ND,"MAIDA, ND (3416)",Land,Conveyances,Passenger Vehicles,139
2023,Remaining,MAR,Northern Border,SEATTLE,WA,"BOUNDARY, WA (3015)",Land,Conveyances,Passenger Vehicles,880
2024,Remaining,MAR,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Trucks,23211
2024,Remaining,MAR,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Travelers,Pedestrians,50
2023,Remaining,JUN,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Conveyances,Air,6
2022,Remaining,AUG,Southern Border,EL PASO,NM,SANTA TERESA (2408),Air,Travelers,Air,48
2023,Remaining,SEP,Coastal/Interior,TAMPA,FL,"TAMPA, FL (1801)",Air,Conveyances,Air,327
